bowler,team,type,note
A Badoni,Lucknow Super Giants,Spin,
A Nortje,Delhi Capitals,Pace,OS
AD Russell,Kolkata Knight Riders,Pace,OS
AF Milne,Chennai Super Kings,Pace,OS
AJ Tye,Lucknow Super Giants,Pace,OS
AK Markram,Sunrisers Hyderabad,Spin,OS
AR Patel,Delhi Capitals,Spin,
AS Joseph,Gujarat Titans,Pace,OS
AS Roy,Kolkata Knight Riders,Spin,
Abdul Samad,Sunrisers Hyderabad,Spin,
Abhishek Sharma,Sunrisers Hyderabad,Spin,
Akash Deep,Royal Challengers Bangalore,Pace,
Aman Hakim Khan,Kolkata Knight Riders,Pace,
Arshdeep Singh,Punjab Kings,Pace,
Avesh Khan,Lucknow Super Giants,Pace,
B Kumar,Sunrisers Hyderabad,Pace,
Basil Thampi,Mumbai Indians,Pace,
C Sakariya,Delhi Capitals,Pace,
CJ Jordan,Chennai Super Kings,Pace,OS
CV Varun,Kolkata Knight Riders,Spin,
D Brevis,Mumbai Indians,Spin,
D Pretorius,Chennai Super Kings,Pace,OS
DG Nalkande,Gujarat Titans,Pace,
DJ Bravo,Chennai Super Kings,Pace,OS
DJ Hooda,Lucknow Super Giants,Spin,
DJ Mitchell,Rajasthan Royals,Pace,OS
DJ Willey,Royal Challengers Bangalore,Pace,OS
DR Sams,Mumbai Indians,Pace,OS
FA Allen,Mumbai Indians,Spin,OS
Fazalhaq Farooqi,Sunrisers Hyderabad,Pace,OS
GJ Maxwell,Royal Challengers Bangalore,Spin,OS
HH Pandya,Gujarat Titans,Pace,
HR Shokeen,Mumbai Indians,Spin,
HV Patel,Royal Challengers Bangalore,Pace,
Harpreet Brar,Punjab Kings,Spin,
Harshit Rana,Kolkata Knight Riders,Pace,
J Suchith,Sunrisers Hyderabad,Spin,
JD Unadkat,Mumbai Indians,Pace,
JDS Neesham,Rajasthan Royals,Pace,OS
JJ Bumrah,Mumbai Indians,Pace,
JO Holder,Lucknow Super Giants,Pace,
JR Hazlewood,Royal Challengers Bangalore,Pace,OS
K Gowtham,Lucknow Super Giants,Spin,
K Kartikeya,Mumbai Indians,Spin,
K Rabada,Punjab Kings,Pace,OS
KA Pollard,Mumbai Indians,Pace,OS
KH Pandya,Lucknow Super Giants,Spin,
KK Ahmed,Delhi Capitals,Pace,
KL Nagarkoti,Delhi Capitals,Pace,
KR Sen,Rajasthan Royals,Pace,
Kartik Tyagi,Sunrisers Hyderabad,Pace,
Kuldeep Yadav,Delhi Capitals,Spin,
LH Ferguson,Gujarat Titans,Pace,OS
LS Livingstone,Punjab Kings,Spin,OS
Lalit Yadav,Delhi Capitals,Spin,
M Ashwin,Mumbai Indians,Spin,
M Jansen,Sunrisers Hyderabad,Pace,OS
M Markande,Mumbai Indians,Spin,
M Pathirana,Chennai Super Kings,Pace,OS
M Prasidh Krishna,Rajasthan Royals,Pace,
M Theekshana,Chennai Super Kings,Spin,OS
MJ Santner,Chennai Super Kings,Spin,OS
MK Lomror,Royal Challengers Bangalore,Spin,
MM Ali,Chennai Super Kings,Spin,OS
MP Stoinis,Lucknow Super Giants,Pace,OS
MR Marsh,Delhi Capitals,Pace,OS
Mohammed Shami,Gujarat Titans,Pace,
Mohammed Siraj,Royal Challengers Bangalore,Pace,
Mohsin Khan (2),Lucknow Super Giants,Pace,
Mukesh Choudhary,Chennai Super Kings,Pace,
Mustafizur Rahman,Delhi Capitals,Pace,OS
N Rana,Kolkata Knight Riders,Spin,
NA Saini,Rajasthan Royals,Pace,
NM Coulter-Nile,Rajasthan Royals,Pace,OS
NT Ellis,Punjab Kings,Pace,OS
OC McCoy,Rajasthan Royals,Pace,OS
OF Smith,Punjab Kings,Pace,OS
PH Solanki,Chennai Super Kings,Spin,
PJ Cummins,Kolkata Knight Riders,Pace,OS
PJ Sangwan,Gujarat Titans,Pace,
PVD Chameera,Lucknow Super Giants,Pace,OS
PWH de Silva,Royal Challengers Bangalore,Spin,OS
R Ashwin,Rajasthan Royals,Spin,
R Dhawan,Punjab Kings,Pace,
R Parag,Rajasthan Royals,Spin,
R Powell,Delhi Capitals,Pace,OS
R Sai Kishore,Gujarat Titans,Spin,
R Sanjay Yadav,Mumbai Indians,Spin,
R Shepherd,Sunrisers Hyderabad,Pace,OS
R Tewatia,Gujarat Titans,Spin,
RA Jadeja,Chennai Super Kings,Spin,
RD Chahar,Punjab Kings,Spin,
RP Meredith,Mumbai Indians,Pace,OS
Ramandeep Singh,Mumbai Indians,Pace,
Rashid Khan,Gujarat Titans,Spin,OS
Rasikh Salam,Kolkata Knight Riders,Pace,
Ravi Bishnoi,Lucknow Super Giants,Spin,
S Dube,Chennai Super Kings,Pace,
S Gopal,Sunrisers Hyderabad,Spin,
S Kaul,Royal Challengers Bangalore,Pace,
SA Abbott,Sunrisers Hyderabad,Pace,OS
SN Thakur,Delhi Capitals,Pace,
SP Narine,Kolkata Knight Riders,Spin,OS
SS Iyer,Kolkata Knight Riders,Spin,
Sandeep Sharma,Punjab Kings,Pace,
Shahbaz Ahmed,Royal Challengers Bangalore,Spin,
Shashank Singh,Sunrisers Hyderabad,Spin,
Shivam Mavi,Kolkata Knight Riders,Pace,
Simarjeet Singh,Chennai Super Kings,Pace,
T Natarajan,Sunrisers Hyderabad,Pace,
TA Boult,Rajasthan Royals,Pace,OS
TG Southee,Kolkata Knight Riders,Pace,OS
TS Mills,Mumbai Indians,Pace,OS
TU Deshpande,Chennai Super Kings,Pace,
Tilak Varma,Mumbai Indians,Spin,
UT Yadav,Kolkata Knight Riders,Pace,
Umran Malik,Sunrisers Hyderabad,Pace,
V Shankar,Gujarat Titans,Pace,
VG Arora,Punjab Kings,Pace,
VR Aaron,Gujarat Titans,Pace,
VR Iyer,Kolkata Knight Riders,Pace,
Washington Sundar,Sunrisers Hyderabad,Spin,
YBK Jaiswal,Rajasthan Royals,Spin,
YS Chahal,Rajasthan Royals,Spin,
Yash Dayal,Gujarat Titans,Pace,
