bowler,team,type
A Dananjaya,Sri Lanka,Spin
A Ndlovu,Zimbabwe,Spin
A Nortje,South Africa,Pace
A Zampa,Australia,Spin
AC Agar,Australia,Spin
AC Evans,Scotland,Pace
AD Mathews,Sri Lanka,Pace
AD Russell,West Indies,Pace
AF Milne,New Zealand,Pace
AJ Hosein,West Indies,Spin
AJ Turner,Australia,Spin
AJ Tye,Australia,Pace
AK Markram,South Africa,Spin
AL Phehlukwayo,South Africa,Pace
AM Fernando,Sri Lanka,Pace
AR McBrine,Ireland,Spin
AR Patel,India,Spin
AS Joseph,West Indies,Pace
AU Rashid,England,Spin
AY Patel,New Zealand,Spin
Aamer Jamal,Pakistan,Pace
Aayan Afzal Khan,United Arab Emirates,Spin
Afif Hossain,Bangladesh,Spin
Ahmed Raza,United Arab Emirates,Spin
Akif Raja,United Arab Emirates,Pace
Aminul Islam Biplob,Bangladesh,Spin
Amir Hamza,Afghanistan,Spin
Arshad Iqbal,Pakistan,Pace
Arshdeep Singh,India,Pace
Aryan Lakra,United Arab Emirates,Spin
Avesh Khan,India,Pace
Azmatullah Omarzai,Afghanistan,Pace
B Evans,Zimbabwe,Pace
B Fernando,Sri Lanka,Pace
B Kumar,India,Pace
B Mavuta,Zimbabwe,Spin
B Muzarabani,Zimbabwe,Pace
B Shikongo,Namibia,Pace
B White,Ireland,Spin
BA Stokes,England,Pace
BC Fortuin,South Africa,Spin
BD Glover,Netherlands,Pace
BE Hendricks,South Africa,Pace
BFW de Leede,Netherlands,Pace
BJ Dwarshuis,Australia,Pace
BJ McCarthy,Ireland,Pace
BM Scholtz,Namibia,Spin
BM Tickner,New Zealand,Pace
BTJ Wheal,Scotland,Pace
BV Sears,New Zealand,Pace
Basil Hameed,United Arab Emirates,Spin
C Campher,Ireland,Pace
C Floyd,Netherlands,Spin
C Green,Australia,Pace
C Karunaratne,Sri Lanka,Pace
C Olphert,Ireland,Pace
C Sakariya,India,Pace
C de Grandhomme,New Zealand,Pace
CA Young,Ireland,Pace
CB Sole,Scotland,Pace
CBRLS Kumara,Sri Lanka,Pace
CE McConchie,New Zealand,Spin
CH Gayle,West Indies,Spin
CJ Dala,South Africa,Pace
CJ Jordan,England,Pace
CN Ackermann,Netherlands,Spin
CN Greaves,Scotland,Spin
CR Woakes,England,Pace
CS MacLeod,Scotland,Pace
CV Varun,India,Spin
D Madushanka,Sri Lanka,Pace
D Myers,Zimbabwe,Pace
D Pretorius,South Africa,Pace
D Wiese,Namibia,Pace
D la Cock,Namibia,Spin
DAJ Bracewell,New Zealand,Pace
DC Drakes,West Indies,Pace
DE Budge,Scotland,Pace
DJ Bravo,West Indies,Pace
DJ Hooda,India,Spin
DJ Mitchell,New Zealand,Pace
DJ Willey,England,Pace
DL Chahar,India,Pace
DM de Silva,Sri Lanka,Spin
DR Sams,Australia,Pace
DT Christian,Australia,Pace
DT Tiripano,Zimbabwe,Pace
Danish Aziz,Pakistan,Spin
Ebadat Hossain,Bangladesh,Pace
F Hand,Ireland,Pace
FA Allen,West Indies,Spin
FH Edwards,West Indies,Pace
FJ Klaassen,Netherlands,Pace
Faheem Ashraf,Pakistan,Pace
Fareed Ahmad,Afghanistan,Pace
Fazalhaq Farooqi,Afghanistan,Pace
G Motie,West Indies,Spin
GA Stuurman,South Africa,Pace
GD Phillips,New Zealand,Spin
GF Linde,South Africa,Spin
GH Dockrell,Ireland,Spin
GHS Garton,England,Pace
GI Hume,Ireland,Pace
GJ Delany,Ireland,Spin
GJ Maxwell,Australia,Spin
GJ Snyman,South Africa,Spin
GT Main,Scotland,Pace
Gulbadin Naib,Afghanistan,Pace
HH Pandya,India,Pace
HK Bennett,New Zealand,Pace
HN Ya France,Namibia,Spin
HR Walsh,West Indies,Spin
HV Patel,India,Pace
Hamid Hassan,Afghanistan,Pace
Hamza Tahir,Scotland,Spin
Haris Rauf,Pakistan,Pace
Hasan Ali,Pakistan,Pace
Hasan Mahmud,Bangladesh,Pace
I Kaia,Zimbabwe,Spin
I Udana,Sri Lanka,Pace
IS Sodhi,New Zealand,Spin
Iftikhar Ahmed,Pakistan,Spin
Imad Wasim,Pakistan,Spin
J Little,Ireland,Pace
JA Duffy,New Zealand,Pace
JA Richardson,Australia,Pace
JC Archer,England,Pace
JDF Vandersay,Sri Lanka,Spin
JDS Neesham,New Zealand,Pace
JH Davey,Scotland,Pace
JJ Bumrah,India,Pace
JJ Smit,Namibia,Pace
JK Masara,Zimbabwe,Spin
JN Frylinck,Namibia,Pace
JN Loftie-Eaton,Namibia,Spin
JO Holder,West Indies,Pace
JP Behrendorff,Australia,Pace
JR Hazlewood,Australia,Pace
JT Smuts,South Africa,Spin
Junaid Siddique (2),United Arab Emirates,Pace
K Birkenstock,Namibia,Pace
K Rabada,South Africa,Pace
K Sinclair,West Indies,Spin
KA Jamieson,New Zealand,Pace
KA Maharaj,South Africa,Spin
KA Pollard,West Indies,Pace
KD Karthik,India,Spin
KH Pandya,India,Spin
KIC Asalanka,Sri Lanka,Spin
KJ O'Brien,Ireland,Pace
KMA Paul,West Indies,Pace
KNA Bandara,Sri Lanka,Pace
KP Meiyappan,United Arab Emirates,Spin
KR Mayers,West Indies,Pace
KW Richardson,Australia,Pace
Karim Janat,Afghanistan,Pace
Kashif Daud,United Arab Emirates,Pace
Khushdil Shah,Pakistan,Spin
Kuldeep Yadav,India,Spin
L Gregory,England,Pace
L Ngidi,South Africa,Pace
L Sipamla,South Africa,Pace
L Wood,England,Pace
LA Dawson,England,Spin
LB Williams,South Africa,Pace
LH Ferguson,New Zealand,Pace
LM Jongwe,Zimbabwe,Pace
LMP Simmons,West Indies,Pace
LS Livingstone,England,Spin
LV van Beek,Netherlands,Pace
M Faraz Akram,Zimbabwe,Pace
M Jansen,South Africa,Pace
M Pathirana,Sri Lanka,Pace
M Shumba,Zimbabwe,Spin
M Theekshana,Sri Lanka,Spin
M van Lingen,Namibia,Pace
MA Leask,Scotland,Spin
MA Starc,Australia,Pace
MA Wood,England,Pace
MC Henriques,Australia,Pace
MD Gunathilaka,Sri Lanka,Spin
MD Shanaka,Sri Lanka,Pace
MG Bracewell,New Zealand,Spin
MG Erasmus,Namibia,Spin
MJ Santner,New Zealand,Spin
MJ Swepson,Australia,Spin
MJG Rippon,New Zealand,Spin
MM Ali,England,Spin
MP Stoinis,Australia,Pace
MR Adair,Ireland,Pace
MR Marsh,Australia,Pace
MRJ Watt,Scotland,Spin
MS Chapman,New Zealand,Spin
MW Parkinson,England,Spin
Mahedi Hasan,Bangladesh,Spin
Mahmudullah,Bangladesh,Spin
Mehedi Hasan Miraz,Bangladesh,Spin
Mohammad Hafeez,Pakistan,Spin
Mohammad Hasnain,Pakistan,Pace
Mohammad Nabi,Afghanistan,Spin
Mohammad Nawaz (3),Pakistan,Spin
Mohammad Saifuddin,Bangladesh,Pace
Mohammad Wasim,Pakistan,Pace
Mohammed Shami,India,Pace
Mohammed Siraj,India,Pace
Mosaddek Hossain,Bangladesh,Spin
Mujeeb Ur Rahman,Afghanistan,Spin
Mustafizur Rahman,Bangladesh,Pace
N Pradeep,Sri Lanka,Pace
N Thushara,Sri Lanka,Pace
NLTC Perera,Sri Lanka,Pace
NT Ellis,Australia,Pace
Naseem Shah,Pakistan,Pace
Nasum Ahmed,Bangladesh,Spin
Naveen-ul-Haq,Afghanistan,Pace
Nazmul Hossain Shanto,Bangladesh,Spin
Nijat Masood,Afghanistan,Pace
Noor Ahmad,Afghanistan,Spin
O Thomas,West Indies,Pace
OC McCoy,West Indies,Pace
OF Smith,West Indies,Pace
OJ Hairs,Scotland,Spin
OP Stone,England,Pace
P Jayawickrama,Sri Lanka,Spin
PA van Meekeren,Netherlands,Pace
PADLR Sandakan,Sri Lanka,Spin
PHKD Mendis,Sri Lanka,Spin
PJ Cummins,Australia,Pace
PM Liyanagamage,Sri Lanka,Pace
PM Seelaar,Netherlands,Spin
PR Stirling,Ireland,Spin
PVD Chameera,Sri Lanka,Pace
PWA Mulder,South Africa,Pace
PWH de Silva,Sri Lanka,Spin
Qais Ahmad,Afghanistan,Spin
R Ashwin,India,Spin
R Klein,Netherlands,Pace
R Ngarava,Zimbabwe,Pace
R Powell,West Indies,Pace
R Rampaul,West Indies,Pace
R Ravindra,New Zealand,Spin
R Shepherd,West Indies,Pace
R Trumpelmann,Namibia,Pace
RA Jadeja,India,Spin
RD Berrington,Scotland,Pace
RD Chahar,India,Spin
RE van der Merwe,Netherlands,Spin
RJ Gleeson,England,Pace
RJW Topley,England,Pace
RL Chase,West Indies,Spin
RP Burl,Zimbabwe,Spin
RP Meredith,Australia,Pace
RR Hendricks,South Africa,Pace
RTM Mendis,Sri Lanka,Spin
Rashid Khan,Afghanistan,Spin
Ravi Bishnoi,India,Spin
Rohan Mustafa,United Arab Emirates,Spin
Rubel Hossain,Bangladesh,Pace
S Mahmood,England,Pace
S Sandeep Warrier,India,Pace
SA Abbott,Australia,Pace
SC Getkate,Ireland,Pace
SC Kuggeleijn,New Zealand,Pace
SC Williams,Zimbabwe,Spin
SM Curran,England,Pace
SM Sharif,Scotland,Pace
SM Sharma,United Arab Emirates,Pace
SN Thakur,India,Pace
SS Cottrell,West Indies,Pace
SS Iyer,India,Spin
SSB Magala,South Africa,Pace
Sabbir Rahman,Bangladesh,Spin
Sabir Ali,United Arab Emirates,Pace
Saif Hassan,Bangladesh,Spin
Shadab Khan,Pakistan,Spin
Shaheen Shah Afridi,Pakistan,Pace
Shahnawaz Dhani,Pakistan,Pace
Shakib Al Hasan,Bangladesh,Spin
Shamim Hossain,Bangladesh,Spin
Sharafuddin Ashraf,Afghanistan,Spin
Shariz Ahmad,Netherlands,Spin
Shoaib Malik,Pakistan,Spin
Shohidul Islam,Bangladesh,Pace
Shoriful Islam,Bangladesh,Pace
Sikandar Raza,Zimbabwe,Spin
Simi Singh,Ireland,Spin
Soumya Sarkar,Bangladesh,Pace
Sultan Ahmed (2),United Arab Emirates,Spin
T Lungameni,Namibia,Pace
T Natarajan,India,Pace
T Shamsi,South Africa,Spin
T Stubbs,South Africa,Spin
T van der Gugten,Netherlands,Pace
TA Boult,New Zealand,Pace
TD Astle,New Zealand,Spin
TG Southee,New Zealand,Pace
TJG Pringle,Netherlands,Spin
TK Curran,England,Pace
TL Chatara,Zimbabwe,Pace
TL Chivanga,Zimbabwe,Pace
TLW Cooper,Netherlands,Spin
TM Head,Australia,Spin
TS Mills,England,Pace
Taskin Ahmed,Bangladesh,Pace
UT Yadav,India,Pace
Umran Malik,India,Pace
Usman Qadir,Pakistan,Spin
VM Nyauchi,Zimbabwe,Pace
VR Iyer,India,Pace
W Madhevere,Zimbabwe,Spin
WD Parnell,South Africa,Pace
WP Masakadza,Zimbabwe,Spin
Waseem Muhammad,United Arab Emirates,Pace
Washington Sundar,India,Spin
Y Cariah,West Indies,Spin
YS Chahal,India,Spin
Zahid Mahmood,Pakistan,Spin
Zahoor Khan,United Arab Emirates,Pace
Zawar Farid,United Arab Emirates,Pace
